,time cost
SVR,0 days 00:00:27.264825
KRR,0 days 00:00:12.612091
RFR,0 days 00:22:38.335187
XGBR,0 days 00:51:29.386999
LASSO,0 days 00:00:08.736920
ANNs,0 days 01:45:51.536909
