,time cost
SVR,0 days 08:37:07.176889
KRR,0 days 00:00:14.993874
RFR,0 days 00:53:08.813216
XGBR,0 days 02:11:18.293720
LASSO,0 days 00:00:18.726890
ANNs,0 days 01:43:38.375998
