,time cost
SVR,0 days 05:07:08.154622
KRR,0 days 00:00:14.267836
RFR,0 days 00:26:58.979954
XGBR,0 days 01:02:18.763662
LASSO,0 days 00:00:13.199706
ANNs,0 days 01:34:06.280278
