Element,Z,Eg,Ip1,Ip2,Ea,Homo,Lumo,Ros,Rop,Rod,Ra,Rv,Rc,Vl,Pc,Pc18,Pr,Uo,Plz,M,Mel,Boi,de
Ag,47,1.93,731,2070,-1.2721,-4.4022,0.9657,1.3241,1.418,0.5486,1.53,1.3241,1.45,11,1,11,5,1,52.5,107.8682,1234.93,2435,10.49
Cd,48,1.69,867.8,1631.4,1.6111,-5.657,-0.9432,1.2355,1.804,0.5192,1.48,1.2355,1.44,12,2,12,5,0,46.8,112.414,594.22,1040,8.65
In,49,1.78,558.3,1820.7,-0.0113,-2.5181,2.6968,1.1407,1.5133,0.4929,1.44,1.5133,1.42,13,3,13,5,5,62,114.818,429.7485,2345,7.31
Sn,50,1.96,708.6,1411.8,-0.8358,-3.6934,2.8969,1.066,1.3554,0.4694,1.41,1.3554,1.39,14,4,14,5,4,56.34,118.71,505.08,2875,7.365
Sb,51,2.05,834,1594.9,-1.5672,-4.8268,4.7346,1.0035,1.24,0.4483,1.38,1.24,1.39,15,5,15,5,3,42.55,121.76,903.78,1860,6.697
Te,52,2.1,869.3,1790,-2.4472,-5.9517,3.9881,0.9497,1.1492,0.4293,1.35,1.1492,1.38,16,6,16,5,2,37,127.6,722.66,1261,6.24
I,53,2.66,1008.4,1845.9,-3.3175,-7.0839,4.2268,0.9024,1.0749,0.4119,1.33,1.0749,1.39,17,7,17,5,1,34.6,126.90447,386.85,457.4,4.933
Xe,54,2.67,1170.4,2046.4,3.6531,-8.232,1.2083,0.8604,1.0121,0.3961,1.3,1.0121,1.4,18,8,18,5,0,27.42,131.293,161.4,165.03,0.005894
Cs,55,0.79,375.7,2234.3,-0.5091,-2.0859,-0.2279,2.5357,2.7555,1.8065,2.25,2.5357,2.44,1,1,1,6,1,399.9,132.9054519,301.59,944,1.93
Ba,56,0.89,502.9,965.2,1.0568,-3.2293,-1.9206,2.1967,2.3694,1.2663,1.98,2.1967,2.15,2,2,2,6,0,272.7,137.327,1000,2170,3.51
La,57,1.1,538.1,1067,-0.47,,,,,,1.69,,2.07,3,3,3,6,9,213.7,138.90547,1193,3737,6.162
