,Training rmse,Testing rmse,Training R2,Testing R2
Mean,0.44104563249755535,0.432472634233644,0.8040946326914556,0.7951499033332209
std,0.001855393432113031,0.007417463361015231,0.0017481609479892135,0.007838046534336236
