,Training rmse,Testing rmse,Training R2,Testing R2
Mean,0.3738558178591822,0.36279276013907313,0.8588225948027515,0.8582918769613065
std,0.001662335483200695,0.0063635444737422785,0.0013486062259752524,0.0054398983698566265
