,Training rmse,Testing rmse,Training R2,Testing R2
Mean,0.5784993888324899,0.579351957537629,0.6617807794405928,0.6315806611956323
std,0.002479065352537017,0.00934643339686639,0.003335914264186806,0.015552917049557222
