,Training rmse,Testing rmse,Training R2,Testing R2
Mean,0.5642421200758132,0.5526064634164167,0.6827722788611148,0.6633325637918448
std,0.002962399314982995,0.011422114276665165,0.0027263460023393858,0.012264753159259668
