,Training rmse,Testing rmse,Training R2,Testing R2
Mean,0.5456414140451673,0.5245131561056393,0.7030175717804972,0.6967992547269081
std,0.0024996005186054505,0.01031729030310369,0.0022402393128447893,0.0097735881395437
