,Training rmse,Testing rmse,Training R2,Testing R2
Mean,0.8030440152104699,0.7841076839578659,0.3543606637375867,0.3184457182404169
std,0.0026275438502435713,0.010811926431576042,0.005130171340198432,0.021015250403186157
