,Training rmse,Testing rmse,Training R2,Testing R2
Mean,0.43918460427642936,0.42799788979269715,0.8041703556683573,0.7924847125160407
std,0.0033080641673139295,0.013061740470594042,0.00292997067205287,0.013070528606106848
