,Training rmse,Testing rmse,Training R2,Testing R2
Mean,0.4721238466089938,0.447284811430766,0.7741473586636717,0.7752798189145719
std,0.005074056184774972,0.019192701736384425,0.003839043341310176,0.015010915133679557
