,Training rmse,Testing rmse,Training R2,Testing R2
Mean,0.8007319085669136,0.7707517801216559,0.3559701821586953,0.3782039985685593
std,0.004482016419808789,0.017891011605737386,0.004739568637298177,0.01879831530094958
