,Training rmse,Testing rmse,Training R2,Testing R2
Mean,0.2738251485404834,0.28153276274651995,0.9244040323207845,0.9140054145947711
std,0.0019971781500124006,0.00712790406623201,0.00089667051047765,0.003685446801389428
