,Training rmse,Testing rmse,Training R2,Testing R2
Mean,0.33019780132484156,0.32639446275577244,0.8901610487862267,0.8865439832000181
std,0.002375068278859659,0.00911530357524883,0.001205018001468596,0.004797041613887526
