,Training rmse,Testing rmse,Training R2,Testing R2
Mean,0.5453028220683971,0.5283249679535365,0.704865691098502,0.6807948887069941
std,0.002396540229626947,0.009538582758634732,0.0020523749075704975,0.01048695232460744
