,Training rmse,Testing rmse,Training R2,Testing R2
Mean,0.31920840372221215,0.3081799114789837,0.8964127789810525,0.8748588946479259
std,0.0035850527590916325,0.01352207573423366,0.002226997148252026,0.011275760826220655
