,Training rmse,Testing rmse,Training R2,Testing R2
Mean,0.1838030933238284,0.16727705966795423,0.9661755041048654,0.9663529564468419
std,0.0018522208632971641,0.006767447936612885,0.0005884152839554511,0.002330185871440227
