,Training rmse,Testing rmse,Training R2,Testing R2
Mean,0.8291845849326712,0.8200564529368174,0.30997649834312246,0.30402178601689583
std,0.0054632591383914075,0.020742709200950733,0.005768932491827638,0.02230365899895497
