,Training rmse,Testing rmse,Training R2,Testing R2
Mean,0.35133976592724026,0.3130514905436664,0.8759744015881837,0.8810821836497799
std,0.003425811501101255,0.011981514439650513,0.0022432710407590236,0.009606938067125807
