,Training rmse,Testing rmse,Training R2,Testing R2
Mean,0.34141267069839665,0.3140165851105585,0.8826303601956763,0.8804443248609028
std,0.002745761786140273,0.01053455666863454,0.0018184031299966093,0.00859813699816032
