,Training rmse,Testing rmse,Training R2,Testing R2
Mean,0.3372446478115318,0.336774943812785,0.8819785214872934,0.8497027978343002
std,0.004582079859163122,0.017618685296620997,0.0030270295791884065,0.013884099884600093
