,Training rmse,Testing rmse,Training R2,Testing R2
Mean,0.36104807160989494,0.3475469566984883,0.8680209803732843,0.8633835695338808
std,0.002292488265139887,0.008870981597938466,0.0016754743861277898,0.008053763133059205
