,Training rmse,Testing rmse,Training R2,Testing R2
Mean,0.9067552900887859,0.8963056336207066,0.1747626022783634,0.17242299778580542
std,0.005324960477461402,0.021240953483245607,0.005240218492994426,0.020837043496016856
