,Training rmse,Testing rmse,Training R2,Testing R2
Mean,0.8354485723838012,0.8402681448306544,0.294438993398814,0.28097474641858405
std,0.005194011063692811,0.01995847194500904,0.0062117500195237475,0.02437230769311932
