,Training rmse,Testing rmse,Training R2,Testing R2
Mean,0.49441724215602684,0.4481765033527366,0.751410038749107,0.7301825150300233
std,0.005594470332043475,0.019312061483934276,0.005468867313779947,0.02660193486482021
