,Training rmse,Testing rmse,Training R2,Testing R2
Mean,0.3512524856592901,0.35008999320435874,0.8763432064879568,0.8622807564498883
std,0.0014554157032311077,0.0055832383561531885,0.0011851156560663714,0.005543991296930195
