,Training rmse,Testing rmse,Training R2,Testing R2
Mean,0.36549684178851566,0.3597359522643056,0.8657234753792926,0.8506868690971033
std,0.0026080804603281814,0.010287539667433902,0.0015954403678363853,0.009872149196708707
