,Training rmse,Testing rmse,Training R2,Testing R2
Mean,0.2728342321653228,0.257046658709804,0.9224696877607473,0.902782990841246
std,0.004963997503574969,0.01609505477733939,0.0025116353725169794,0.010602491463210711
