,Training rmse,Testing rmse,Training R2,Testing R2
Mean,0.19339493236179894,0.1581369363864692,0.9615064881387592,0.9655522240799017
std,0.002242019152791611,0.007931436313967333,0.000857455435888765,0.0036917802116560932
