,Training rmse,Testing rmse,Training R2,Testing R2
Mean,0.2867393415267739,0.2842492029867945,0.9169178831087084,0.9109285948416818
std,0.001741308941927297,0.006422341521548841,0.0009807491348299896,0.004057585417906847
