,Training rmse,Testing rmse,Training R2,Testing R2
Mean,0.3203051045623198,0.31590498986593546,0.8960702541104533,0.8846422475464593
std,0.0024064954680720835,0.009058513750891626,0.0015326310049296487,0.007738077463264556
