Num,R2
1,-0.769774887
2,-0.320006905
3,0.021591114
4,0.144840355
5,0.19069857
6,0.232692731
7,0.111831315
8,0.238147008
9,0.182708771
10,0.262370974
11,0.244122685
12,0.244358742
13,0.231245906
14,0.226409319
15,0.251573408
16,0.200426422
17,0.256166739
18,0.269683088
19,0.255361981
20,0.250569665
30,0.295137533
40,0.318893547
50,0.292097349
60,0.294256898
70,0.294097175
80,0.283274921
90,0.309809152
100,0.291498201
110,0.281478756
120,0.294363228
130,0.295082392
140,0.302268088
150,0.273207001
160,0.275988873
170,0.293997654
180,0.274838422
190,0.280849947
200,0.259060068
