Num,R2
1,-0.870038181
2,-0.364806991
3,0.016303923
4,0.154040608
5,0.205350575
6,0.222557072
7,0.26635186
8,0.158440679
9,0.207440574
10,0.262852923
11,0.253328082
12,0.244720225
13,0.269352026
14,0.257553129
15,0.25789784
16,0.268528847
17,0.274821889
18,0.258592186
19,0.269524033
20,0.296895493
30,0.34344739
40,0.333558585
50,0.327710043
60,0.296294209
70,0.320966773
80,0.318511154
90,0.291254841
100,0.299004645
110,0.318546289
120,0.320177412
130,0.279988788
140,0.300367131
150,0.308185125
160,0.2883578
170,0.291177631
180,0.304484042
190,0.304841381
200,0.302084186
