Num,R2
1,-1.045060879
2,-0.331971877
3,-0.03697441
4,0.128752457
5,0.217130242
6,0.291449148
7,0.220507975
8,0.245193777
9,0.270290517
10,0.26228948
11,0.268737205
12,0.236742069
13,0.283659871
14,0.256924637
15,0.217335916
16,0.256905739
17,0.260805709
18,0.311221721
19,0.291935204
20,0.293012989
30,0.296415096
40,0.316749289
50,0.314620431
60,0.303789745
70,0.31533059
80,0.322918666
90,0.323669807
100,0.29879659
110,0.304696294
120,0.318861661
130,0.31240037
140,0.30307811
150,0.300655075
160,0.29101143
170,0.31235783
180,0.29584997
190,0.292860404
200,0.298682998
