Num,R2
1,-0.836284471
2,-0.304995434
3,-0.043824708
4,0.171823647
5,0.220960864
6,0.30718903
7,0.291880068
8,0.272264147
9,0.180523209
10,0.245553818
11,0.265677378
12,0.25243919
13,0.253734965
14,0.258547859
15,0.23134425
16,0.230959562
17,0.206660961
18,0.219229993
19,0.268704783
20,0.26948606
30,0.307439605
40,0.340399037
50,0.346803593
60,0.307075643
70,0.295767118
80,0.326751863
90,0.307696434
100,0.318161757
110,0.323222927
120,0.326490673
130,0.302807467
140,0.317123729
150,0.32124424
160,0.315158214
170,0.273960035
180,0.299869877
190,0.285986093
200,0.297838808
