Num,R2
1,-0.855728625
2,-0.337293586
3,-0.032253408
4,0.11327385
5,0.208987201
6,0.289562926
7,0.251082984
8,0.235221361
9,0.26127072
10,0.192948257
11,0.182068747
12,0.289387372
13,0.249118262
14,0.20297939
15,0.280419919
16,0.29186532
17,0.266337734
18,0.280044913
19,0.278707164
20,0.293449744
30,0.334249598
40,0.329818573
50,0.3120845
60,0.310242757
70,0.319774249
80,0.331039215
90,0.318975401
100,0.325380899
110,0.323690033
120,0.320329732
130,0.32859161
140,0.31434435
150,0.307814041
160,0.287458067
170,0.307067952
180,0.3143024
190,0.303090896
200,0.289051859
