Num,R2
1,-0.847411294
2,-0.332518657
3,0.000119354
4,0.175996567
5,0.220415375
6,0.291970043
7,0.282129864
8,0.238290193
9,0.251255512
10,0.282614933
11,0.272609634
12,0.274884027
13,0.267135254
14,0.2284239
15,0.22809587
16,0.272768947
17,0.260371327
18,0.279515754
19,0.247048487
20,0.259206709
30,0.30636329
40,0.35541269
50,0.305439227
60,0.31963061
70,0.332464704
80,0.325355484
90,0.327587414
100,0.307318741
110,0.310754698
120,0.303919413
130,0.304476155
140,0.34131101
150,0.30660832
160,0.307607371
170,0.299437393
180,0.29785419
190,0.319566483
200,0.275640694
