Num,R2
1,-0.866389299
2,-0.330967532
3,-0.033351131
4,0.179578186
5,0.216699566
6,0.274545115
7,0.273614471
8,0.274773389
9,0.28807417
10,0.251943847
11,0.281396606
12,0.234343364
13,0.250699863
14,0.27897419
15,0.252098042
16,0.249644858
17,0.245920728
18,0.256314543
19,0.246558222
20,0.313284971
30,0.301697498
40,0.315383812
50,0.325724295
60,0.3191083
70,0.309632078
80,0.311579247
90,0.330102523
100,0.324016228
110,0.320691256
120,0.329678151
130,0.311086254
140,0.316567758
150,0.32715123
160,0.301470658
170,0.306888894
180,0.304942512
190,0.283069925
200,0.306596867
