Num,R2
1,-0.863695134
2,-0.360413056
3,-0.112288114
4,0.139540664
5,0.074289177
6,0.196466228
7,0.27901299
8,0.220728969
9,0.269624153
10,0.285780038
11,0.262515603
12,0.251034603
13,0.228262152
14,0.267242839
15,0.250116613
16,0.214897129
17,0.231095771
18,0.269609235
19,0.26631161
20,0.262896172
30,0.310606456
40,0.319214514
50,0.316186336
60,0.30026969
70,0.314784275
80,0.307958939
90,0.315378404
100,0.318831401
110,0.29813196
120,0.296902383
130,0.311612509
140,0.290098231
150,0.294958698
160,0.300235892
170,0.28310664
180,0.309914232
190,0.286687455
200,0.299763529
